Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Full_address,Coords,LAT,LNG
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL FERROCARRIL SANTA MARTA,TERPEL,CARRERA 21 No. 29 L4 250,GASOLINA CORRIENTE OXIGENADA,8780.0,A,"CARRERA 21 No. 29 L4 250, Santa marta, Colombia","(11.224469, -74.1944185)",11.224469,-74.1944185
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL FERROCARRIL SANTA MARTA,TERPEL,CARRERA 21 No. 29 L4 250,GASOLINA EXTRA OXIGENADA,17539.0,A,"CARRERA 21 No. 29 L4 250, Santa marta, Colombia","(11.224469, -74.1944185)",11.224469,-74.1944185
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL FERROCARRIL SANTA MARTA,TERPEL,CARRERA 21 No. 29 L4 250,BIODIESEL EXTRA,8680.0,A,"CARRERA 21 No. 29 L4 250, Santa marta, Colombia","(11.224469, -74.1944185)",11.224469,-74.1944185
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS VIA TAYRONA,TERPEL,CALLE 30 No. 81-74 BARRIO ONCE DE NOVIEMBRE,GASOLINA CORRIENTE OXIGENADA,9090.0,A,"CALLE 30 No. 81-74 BARRIO ONCE DE NOVIEMBRE, Santa marta, Colombia","(11.2163502, -74.1592857)",11.2163502,-74.1592857
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS VIA TAYRONA,TERPEL,CALLE 30 No. 81-74 BARRIO ONCE DE NOVIEMBRE,BIODIESEL EXTRA,9010.0,A,"CALLE 30 No. 81-74 BARRIO ONCE DE NOVIEMBRE, Santa marta, Colombia","(11.2163502, -74.1592857)",11.2163502,-74.1592857
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS VIA TAYRONA,TERPEL,CALLE 30 No. 81-74 BARRIO ONCE DE NOVIEMBRE,GASOLINA EXTRA OXIGENADA,17310.0,A,"CALLE 30 No. 81-74 BARRIO ONCE DE NOVIEMBRE, Santa marta, Colombia","(11.2163502, -74.1592857)",11.2163502,-74.1592857
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO COMBUSCOL PUERTO DEL SOL,TEXACO,VIA ALTERNA AL PUERTO SECTOR MAMATOCO-PRODELSOL,BIODIESEL EXTRA,8980.0,A,"VIA ALTERNA AL PUERTO SECTOR MAMATOCO-PRODELSOL, Santa marta, Colombia","(11.227466, -74.174858)",11.227466,-74.174858
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO COMBUSCOL PUERTO DEL SOL,TEXACO,VIA ALTERNA AL PUERTO SECTOR MAMATOCO-PRODELSOL,GASOLINA CORRIENTE OXIGENADA,9327.0,A,"VIA ALTERNA AL PUERTO SECTOR MAMATOCO-PRODELSOL, Santa marta, Colombia","(11.227466, -74.174858)",11.227466,-74.174858
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO COMBUSCOL PUERTO DEL SOL,TEXACO,VIA ALTERNA AL PUERTO SECTOR MAMATOCO-PRODELSOL,GASOLINA EXTRA OXIGENADA,16970.0,A,"VIA ALTERNA AL PUERTO SECTOR MAMATOCO-PRODELSOL, Santa marta, Colombia","(11.227466, -74.174858)",11.227466,-74.174858
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS VIA MINCA,TERPEL,CARRERA 66 N 48-22,BIODIESEL EXTRA,8855.0,A,"CARRERA 66 N 48-22, Santa marta, Colombia","(11.2129558, -74.1621385)",11.2129558,-74.1621385
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS VIA MINCA,TERPEL,CARRERA 66 N 48-22,GASOLINA CORRIENTE OXIGENADA,8955.0,A,"CARRERA 66 N 48-22, Santa marta, Colombia","(11.2129558, -74.1621385)",11.2129558,-74.1621385
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO AV 19 SANTA MARTA,TERPEL,CARRERA 19 NO. 26B-107,BIODIESEL EXTRA,8680.0,A,"CARRERA 19 NO. 26B-107, Santa marta, Colombia","(11.2326724, -74.19520039999999)",11.2326724,-74.19520039999999
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO AV 19 SANTA MARTA,TERPEL,CARRERA 19 NO. 26B-107,GASOLINA CORRIENTE OXIGENADA,8780.0,A,"CARRERA 19 NO. 26B-107, Santa marta, Colombia","(11.2326724, -74.19520039999999)",11.2326724,-74.19520039999999
2022,6,47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO AV 19 SANTA MARTA,TERPEL,CARRERA 19 NO. 26B-107,GASOLINA EXTRA OXIGENADA,17520.0,A,"CARRERA 19 NO. 26B-107, Santa marta, Colombia","(11.2326724, -74.19520039999999)",11.2326724,-74.19520039999999
